Time,S1 Upper Roller Current,S2 Upper Roller Current,S3 Upper Roller Current,S4 Upper Roller Current
2024-04-26 10:00:00,28.49671415,30.98723259,35.74507123,41.14122599
2024-04-26 10:00:01,27.8617357,31.78322199,34.79260355,41.93636932
2024-04-26 10:00:02,28.64768854,30.81137012,35.97153281,39.33738323
2024-04-26 10:00:03,29.52302986,31.53805771,37.28454478,38.77552653
2024-04-26 10:00:04,27.76584663,29.159578,34.64876994,37.82969895
2024-04-26 10:00:05,27.76586304,32.31994056,34.64879456,38.34917894
2024-04-26 10:00:06,29.57921282,32.00180821,37.36881922,45.89818885
2024-04-26 10:00:07,28.76743473,30.77436705,36.15115209,42.48935916
2024-04-26 10:00:08,27.53052561,32.9888685,34.29578842,37.29785127
2024-04-26 10:00:09,28.54256004,33.40635521,35.81384007,37.35508409
2024-04-26 10:00:10,27.53658231,29.5886602,34.30487346,40.96373212
2024-04-26 10:00:11,27.53427025,30.85591283,34.30140537,41.09452959
2024-04-26 10:00:12,28.24196227,30.84628648,35.36294341,41.09776767
2024-04-26 10:00:13,26.08671976,30.59014535,32.13007963,39.49008841
2024-04-26 10:00:14,26.27508217,33.24421226,32.41262325,39.74909148
2024-04-26 10:00:15,27.43771247,31.70926079,34.15656871,40.65575905
2024-04-26 10:00:16,26.98716888,31.60322774,33.48075332,40.17178601
2024-04-26 10:00:17,28.31424733,28.99420645,35.471371,35.56139925
2024-04-26 10:00:18,27.09197592,32.95312705,33.63796389,39.54040074
2024-04-26 10:00:19,26.5876963,30.14111241,32.88154445,38.29718713
2024-04-26 10:00:20,29.46564877,32.08989895,37.19847315,40.35042284
2024-04-26 10:00:21,27.7742237,32.41606541,34.66133555,45.97051801
2024-04-26 10:00:22,28.0675282,34.04098789,35.10129231,40.73496333
2024-04-26 10:00:23,26.57525181,30.0367694,32.86287772,39.37294063
2024-04-26 10:00:24,27.45561728,27.47073177,34.18342591,41.843603
2024-04-26 10:00:25,28.11092259,32.27577432,35.16638388,40.96537577
2024-04-26 10:00:26,26.84900642,34.70076677,33.27350963,40.84018898
2024-04-26 10:00:27,28.37569802,33.85841953,35.56354703,41.21370119
2024-04-26 10:00:28,27.39936131,32.31448912,34.09904197,44.11308713
2024-04-26 10:00:29,27.70830625,31.26254572,34.56245938,37.73822313
2024-04-26 10:00:30,27.39829339,33.21068389,34.09744008,40.94726415
2024-04-26 10:00:31,29.85227818,30.5396807,37.77841728,38.14723774
2024-04-26 10:00:32,27.98650278,32.71453665,34.97975416,41.11102529
2024-04-26 10:00:33,26.94228907,32.75820524,33.41343361,38.16262698
2024-04-26 10:00:34,28.82254491,33.59031486,36.23381737,39.16526637
2024-04-26 10:00:35,26.77915635,36.13949006,33.16873453,39.40982017
2024-04-26 10:00:36,28.2088636,32.58862395,35.31329539,41.95163344
2024-04-26 10:00:37,26.04032988,31.23655456,32.06049481,41.83690889
2024-04-26 10:00:38,26.67181395,31.96163853,33.00772093,37.50856525
2024-04-26 10:00:39,28.19686124,29.34638614,35.29529185,40.10986822
2024-04-26 10:00:40,28.73846658,30.9579303,36.10769987,38.58084029
2024-04-26 10:00:41,28.17136828,31.38607634,35.25705242,37.48299018
2024-04-26 10:00:42,27.88435172,31.2138674,34.82652758,39.5659659
2024-04-26 10:00:43,27.6988963,32.22853231,34.54834446,39.38303442
2024-04-26 10:00:44,26.52147801,30.7663701,32.78221701,44.85343297
2024-04-26 10:00:45,27.28015579,33.681546,33.92023369,40.86591965
2024-04-26 10:00:46,27.53936123,32.0003106,34.30904184,37.244765
2024-04-26 10:00:47,29.05712223,31.98604952,36.58568334,38.87045199
2024-04-26 10:00:48,28.34361829,31.50815793,35.51542743,42.04276659
2024-04-26 10:00:49,26.23695984,32.23278603,32.35543977,44.17688555
2024-04-26 10:00:50,28.32408397,33.2376474,35.48612595,36.82803338
2024-04-26 10:00:51,27.61491772,30.69930468,34.42237658,36.24015123
2024-04-26 10:00:52,27.323078,31.01282527,33.984617,43.74193035
2024-04-26 10:00:53,28.61167629,31.54441096,35.91751443,40.77922835
2024-04-26 10:00:54,29.03099952,29.98119361,36.54649928,38.26341454
2024-04-26 10:00:55,28.93128012,30.77111321,36.39692018,41.06925817
2024-04-26 10:00:56,27.16078248,31.28566869,33.74117372,34.72850452
2024-04-26 10:00:57,27.69078762,33.31158377,34.53618144,40.00675101
2024-04-26 10:00:58,28.33126343,32.39384199,35.49689515,40.65564235
2024-04-26 10:00:59,28.97554513,32.29038487,36.46331769,41.84854028
2024-04-26 10:01:00,27.52082576,33.27634694,34.28123864,37.9722081
2024-04-26 10:01:01,27.81434102,31.79394232,34.72151154,40.17137432
2024-04-26 10:01:02,26.89366503,32.58569727,33.34049754,38.14915075
2024-04-26 10:01:03,26.80379338,31.84516737,33.20569006,40.51076751
2024-04-26 10:01:04,28.81252582,32.39804352,36.21878873,38.20930736
2024-04-26 10:01:05,29.35624003,31.12586201,37.03436004,39.18379832
2024-04-26 10:01:06,27.92798988,28.34177426,34.89198482,38.00836921
2024-04-26 10:01:07,29.0035329,31.79858126,36.50529935,41.30227248
2024-04-26 10:01:08,28.36163603,34.1341222,35.54245404,41.71690223
2024-04-26 10:01:09,27.35488025,33.3893231,34.03232037,39.53075886
2024-04-26 10:01:10,28.36139561,33.44809623,35.54209341,40.07647599
2024-04-26 10:01:11,29.53803657,33.85419608,37.30705485,37.10281717
2024-04-26 10:01:12,27.96417396,32.13298639,34.94626094,39.4006467
2024-04-26 10:01:13,29.56464366,32.29597356,37.34696548,39.89959077
2024-04-26 10:01:14,25.3802549,31.07352216,31.07038234,45.24158618
2024-04-26 10:01:15,28.8219025,31.52589072,36.23285376,37.77606595
2024-04-26 10:01:16,28.08704707,32.92365672,35.1305706,42.92835448
2024-04-26 10:01:17,27.70099265,33.80582666,34.55148897,41.99371755
2024-04-26 10:01:18,28.09176078,31.79083059,35.13764116,40.56127281
2024-04-26 10:01:19,26.01243109,31.3247161,32.01864663,43.51724097
2024-04-26 10:01:20,27.78032811,32.00079194,34.67049217,40.74421095
2024-04-26 10:01:21,28.35711257,32.90181012,35.53566886,40.77831839
2024-04-26 10:01:22,29.47789404,29.83421778,37.21684107,39.89375869
2024-04-26 10:01:23,27.48172978,28.55572857,34.22259467,42.44713776
2024-04-26 10:01:24,27.1915064,31.17419473,33.7872596,42.19293847
2024-04-26 10:01:25,27.49824296,30.16893136,34.24736443,38.74864543
2024-04-26 10:01:26,28.91540212,31.2377897,36.37310318,37.36150561
2024-04-26 10:01:27,28.32875111,31.77832952,35.49312666,39.59403873
2024-04-26 10:01:28,27.4702398,31.32012739,34.20535969,38.39992287
2024-04-26 10:01:29,28.51326743,34.1787013,35.76990115,39.87295085
2024-04-26 10:01:30,28.09707755,32.49011715,35.14561632,42.47487627
2024-04-26 10:01:31,28.96864499,32.45071154,36.45296749,39.08539669
2024-04-26 10:01:32,27.29794691,32.93331072,33.94692036,39.91435324
2024-04-26 10:01:33,27.67233785,30.29175032,34.50850678,40.11604547
2024-04-26 10:01:34,27.60789185,33.55866768,34.41183777,41.69686176
2024-04-26 10:01:35,26.53648505,31.88635357,32.80472758,35.50622133
2024-04-26 10:01:36,28.29612028,33.00572093,35.44418042,38.78659941
2024-04-26 10:01:37,28.26105527,30.39221415,35.39158291,40.42256738
2024-04-26 10:01:38,28.00511346,29.66936185,35.00767018,42.40015791
2024-04-26 10:01:39,27.76541287,33.22683449,34.6481193,39.0161951
2024-04-26 10:01:40,26.58462926,32.56461429,32.87694389,36.24689459
2024-04-26 10:01:41,27.57935468,30.64692267,34.36903202,41.23942289
2024-04-26 10:01:42,27.65728548,30.69550538,34.48592823,38.72927522
2024-04-26 10:01:43,27.19772273,33.68815218,33.7965841,37.62066668
2024-04-26 10:01:44,27.83871429,30.21588216,34.75807143,38.75130922
2024-04-26 10:01:45,28.40405086,34.46400943,35.60607629,39.63094928
2024-04-26 10:01:46,29.8861859,30.6490689,37.82927885,38.79051067
2024-04-26 10:01:47,28.17457781,32.95758789,35.26186672,35.58886789
2024-04-26 10:01:48,28.25755039,31.50707229,35.38632559,41.79413239
2024-04-26 10:01:49,27.92555408,32.90478115,34.88833113,42.54975008
2024-04-26 10:01:50,26.08122878,31.183829,32.12184318,41.30304398
2024-04-26 10:01:51,27.97348612,31.75581064,34.96022919,37.72462866
2024-04-26 10:01:52,28.06023021,32.06137876,35.09034531,39.59701693
2024-04-26 10:01:53,30.46324211,30.49671882,38.69486317,39.98695737
2024-04-26 10:01:54,27.80763904,33.11123652,34.71145855,41.19758878
2024-04-26 10:01:55,28.30154734,31.23017965,35.45232101,41.33668098
2024-04-26 10:01:56,27.96528823,31.65710013,34.94793235,38.5316524
2024-04-26 10:01:57,26.83132196,30.50847594,33.24698294,40.16399111
2024-04-26 10:01:58,29.14282281,28.15649951,36.71423422,40.91456081
2024-04-26 10:01:59,28.75193303,31.71345836,36.12789955,42.91164464
2024-04-26 10:02:00,28.79103195,35.61892313,36.18654792,41.40901308
2024-04-26 10:02:01,27.09061255,33.17690643,33.63591882,41.57811337
2024-04-26 10:02:02,29.40279431,31.97110943,37.10419147,40.16765326
2024-04-26 10:02:03,26.59814894,31.60566376,32.89722341,42.82091829
2024-04-26 10:02:04,28.58685709,32.03369884,35.88028564,40.81952559
2024-04-26 10:02:05,30.19045563,32.82067867,38.28568344,38.27782418
2024-04-26 10:02:06,27.00946367,30.22878078,33.51419551,42.80673994
2024-04-26 10:02:07,27.43370227,33.67148254,34.15055341,41.39580655
2024-04-26 10:02:08,28.09965137,33.07307197,35.14947705,39.11391196
2024-04-26 10:02:09,27.49652435,33.07727859,34.24478652,39.04101407
2024-04-26 10:02:10,26.44933657,32.65771361,32.67400485,40.59315109
2024-04-26 10:02:11,28.06856297,32.02942499,35.10284446,40.92636959
2024-04-26 10:02:12,26.93769629,33.00929185,33.40654443,40.39458453
2024-04-26 10:02:13,28.47359243,32.8877212,35.71038865,40.62261735
2024-04-26 10:02:14,27.08057577,31.46893893,33.62086365,43.39991475
2024-04-26 10:02:15,29.54993441,31.13959734,37.32490161,42.1430863
2024-04-26 10:02:16,27.21674671,32.15278444,33.82512006,40.38127118
2024-04-26 10:02:17,27.67793848,34.32353023,34.51690773,41.88262116
2024-04-26 10:02:18,28.81351722,30.14133939,36.22027583,37.93495219
2024-04-26 10:02:19,26.76913568,29.7987121,33.15370353,40.7958541
2024-04-26 10:02:20,28.22745993,32.24714126,35.3411899,43.6186127
2024-04-26 10:02:21,29.30714275,32.07633155,36.96071413,39.56390821
2024-04-26 10:02:22,26.39251677,32.2600125,32.58877515,38.30473214
2024-04-26 10:02:23,28.18463386,32.3659298,35.27695079,38.69582222
2024-04-26 10:02:24,28.25988279,31.66519662,35.38982419,37.82073393
2024-04-26 10:02:25,28.78182287,34.23479516,36.17273431,38.43047618
2024-04-26 10:02:26,26.76304929,29.59864403,33.14457393,39.2589838
2024-04-26 10:02:27,26.67954339,30.75725446,33.01931508,37.18886596
2024-04-26 10:02:28,28.52194157,31.84511786,35.78291235,40.03123667
2024-04-26 10:02:29,28.29698467,29.53521678,35.44547701,41.80455435
2024-04-26 10:02:30,28.25049285,31.73621839,35.37573928,38.18448764
2024-04-26 10:02:31,28.34644821,34.49220525,35.51967231,43.03856785
2024-04-26 10:02:32,27.31997528,32.03132973,33.97996292,41.02158418
2024-04-26 10:02:33,28.2322537,32.34605136,35.34838055,42.06116117
2024-04-26 10:02:34,28.29307247,30.10975285,35.43960871,38.68433089
2024-04-26 10:02:35,27.28564858,31.07545789,33.92847287,41.70905045
2024-04-26 10:02:36,29.86577451,31.43720543,37.79866177,37.8161322
2024-04-26 10:02:37,28.47383292,31.52342735,35.71074938,41.780495
2024-04-26 10:02:38,26.8086965,33.92246569,33.21304475,40.34367868
2024-04-26 10:02:39,28.65655361,32.83653659,35.98483041,41.10650244
2024-04-26 10:02:40,27.02531833,30.33281306,33.53797749,37.64881079
2024-04-26 10:02:41,28.7870846,32.36975717,36.18062691,38.20986032
2024-04-26 10:02:42,29.15859558,32.74733262,36.73789337,41.19445644
2024-04-26 10:02:43,27.17931768,33.71022356,33.76897652,38.10330399
2024-04-26 10:02:44,28.96337613,34.37081103,36.44506419,40.92641258
2024-04-26 10:02:45,28.41278093,30.47735871,35.61917139,37.26572439
2024-04-26 10:02:46,28.82206016,30.78371373,36.23309024,41.69634843
2024-04-26 10:02:47,29.89679298,30.11363321,37.84518947,37.53495337
2024-04-26 10:02:48,27.75461188,31.64897021,34.63191783,41.10459988
2024-04-26 10:02:49,27.24626384,32.69953756,33.86939575,41.25126187
2024-04-26 10:02:50,27.11048557,33.48100177,33.66572836,38.60645636
2024-04-26 10:02:51,27.18418972,31.88607346,33.77628457,41.16405313
2024-04-26 10:02:52,27.92289829,31.52022872,34.88434744,40.52088453
2024-04-26 10:02:53,28.34115197,32.22763699,35.51172796,38.92231629
2024-04-26 10:02:54,28.2766908,30.74728565,35.4150362,37.98289063
2024-04-26 10:02:55,28.82718325,35.13430808,36.24077487,36.07474862
2024-04-26 10:02:56,28.01300189,29.58850846,35.01950284,40.69930009
2024-04-26 10:02:57,29.45353408,32.27711087,37.18030112,36.87039446
2024-04-26 10:02:58,27.73534317,35.03540933,34.60301475,40.1906884
2024-04-26 10:02:59,30.72016917,32.01019977,39.08025375,39.47310357
2024-04-26 10:03:00,28.62566735,31.71494145,35.93850102,41.35828555
2024-04-26 10:03:01,27.14284244,31.46383187,33.71426367,39.395909
2024-04-26 10:03:02,26.9291075,31.72941248,33.39366125,39.34110443
2024-04-26 10:03:03,28.48247242,34.05927271,35.72370862,41.46374141
2024-04-26 10:03:04,27.77653721,28.68220713,34.66480582,40.67011606
2024-04-26 10:03:05,28.71400049,34.30015055,36.07100074,40.63231191
2024-04-26 10:03:06,28.47323762,29.86406427,35.70985644,40.93853518
2024-04-26 10:03:07,27.92717109,31.60002151,34.89075663,36.92885575
2024-04-26 10:03:08,27.15320628,31.35613337,33.72980942,41.51357736
2024-04-26 10:03:09,26.48515278,32.8828299,32.72772916,41.22493759
2024-04-26 10:03:10,27.55348505,29.60281347,34.33022757,37.96663374
2024-04-26 10:03:11,28.85639879,32.693259,36.28459819,39.51183905
2024-04-26 10:03:12,28.21409374,35.03646443,35.32114062,39.92138542
2024-04-26 10:03:13,26.75426122,29.95523899,33.13139183,39.73100643
2024-04-26 10:03:14,28.17318093,32.28455925,35.25977139,40.66771993
2024-04-26 10:03:15,28.38531738,31.00702673,35.57797607,42.86273356
2024-04-26 10:03:16,27.11614256,32.63883081,33.67421385,42.16353346
2024-04-26 10:03:17,28.15372511,32.02872167,35.23058766,37.37556161
2024-04-26 10:03:18,28.05820872,31.03776964,35.08731308,41.24413998
2024-04-26 10:03:19,26.8570297,32.73180843,33.28554455,42.65786664
2024-04-26 10:03:20,28.35778736,34.70652216,35.53668104,40.77361704
2024-04-26 10:03:21,28.56078453,31.71364431,35.84117679,42.18196085
2024-04-26 10:03:22,29.08305124,33.07963691,36.62457686,44.02454089
2024-04-26 10:03:23,29.05380205,30.06009056,36.58070308,42.04741909
2024-04-26 10:03:24,26.62233063,30.56534543,32.93349595,40.49861719
2024-04-26 10:03:25,27.06217496,32.70860942,33.59326244,42.09017695
2024-04-26 10:03:26,28.51503527,34.22617404,35.7725529,40.28977567
2024-04-26 10:03:27,28.51378595,32.53342002,35.77067893,40.04780609
2024-04-26 10:03:28,28.51504769,31.53041295,35.77257153,39.29717153
2024-04-26 10:03:29,31.85273149,31.99893711,40.77909724,43.12682672
2024-04-26 10:03:30,28.57089051,30.1243884,35.85633577,38.36314267
2024-04-26 10:03:31,29.13556564,32.90677299,36.70334846,43.06473545
2024-04-26 10:03:32,28.95400176,33.32349959,36.43100265,40.99972825
2024-04-26 10:03:33,28.65139125,31.3218645,35.97708688,37.20138765
2024-04-26 10:03:34,27.68473076,31.29493678,34.52709613,40.73529859
2024-04-26 10:03:35,28.75896922,32.39881734,36.13845383,35.79994698
2024-04-26 10:03:36,27.22717479,31.3449204,33.84076218,41.25101603
