Time,Crystallizer Water Narrow Side Right Outlet Flow Rate,Crystallizer Water Narrow Side Left Outlet Flow Rate
2023-04-26 10:00:00,582.4835708,586.8785341
2023-04-26 10:00:01,579.3086785,579.2497221
2023-04-26 10:00:02,583.2384427,580.6278823
2023-04-26 10:00:03,587.6151493,579.1346409
2023-04-26 10:00:04,578.8292331,580.0778952
2023-04-26 10:00:05,578.8293152,574.5186246
2023-04-26 10:00:06,587.8960641,572.7997456
2023-04-26 10:00:07,583.8371736,587.9725253
2023-04-26 10:00:08,577.6526281,575.7651933
2023-04-26 10:00:09,582.7128002,575.0430383
2023-04-26 10:00:10,577.6829115,569.2330494
2023-04-26 10:00:11,577.6713512,576.8051913
2023-04-26 10:00:12,581.2098114,573.384551
2023-04-26 10:00:13,570.4335988,588.2100758
2023-04-26 10:00:14,571.3754108,585.0490854
2023-04-26 10:00:15,577.1885624,576.5592483
2023-04-26 10:00:16,574.9358444,591.262179
2023-04-26 10:00:17,581.5712367,584.9088274
2023-04-26 10:00:18,575.4598796,578.3758431
2023-04-26 10:00:19,572.9384815,567.5029714
2023-04-26 10:00:20,587.3282438,591.4547129
2023-04-26 10:00:21,578.8711185,573.0521377
2023-04-26 10:00:22,580.337641,571.7730063
2023-04-26 10:00:23,572.8762591,585.1128522
2023-04-26 10:00:24,577.2780864,592.198762
2023-04-26 10:00:25,580.5546129,586.9213641
2023-04-26 10:00:26,574.2450321,582.8195456
2023-04-26 10:00:27,581.8784901,582.9737717
2023-04-26 10:00:28,576.9968066,584.2670778
2023-04-26 10:00:29,578.5415313,583.7946429
2023-04-26 10:00:30,576.9914669,581.4059571
2023-04-26 10:00:31,589.2613909,580.5210055
2023-04-26 10:00:32,579.9325139,579.6870344
2023-04-26 10:00:33,574.7114454,576.2301771
2023-04-26 10:00:34,584.1127246,578.5966246
2023-04-26 10:00:35,573.8957818,571.5352159
2023-04-26 10:00:36,581.044318,579.5083019
2023-04-26 10:00:37,570.2016494,575.0570445
2023-04-26 10:00:38,573.3590698,574.4820534
2023-04-26 10:00:39,580.9843062,580.8994708
2023-04-26 10:00:40,583.6923329,586.9600114
2023-04-26 10:00:41,580.8568414,584.591583
2023-04-26 10:00:42,579.4217586,572.147497
2023-04-26 10:00:43,578.4944815,575.0518593
2023-04-26 10:00:44,572.60739,584.7038559
2023-04-26 10:00:45,576.400779,575.087563
2023-04-26 10:00:46,577.6968061,578.8768343
2023-04-26 10:00:47,585.2856111,582.7502605
2023-04-26 10:00:48,581.7180914,575.1582777
2023-04-26 10:00:49,571.1847992,580.5268775
2023-04-26 10:00:50,581.6204198,573.3298725
2023-04-26 10:00:51,578.0745886,576.9931618
2023-04-26 10:00:52,576.61539,581.5989097
2023-04-26 10:00:53,583.0583814,572.0350313
2023-04-26 10:00:54,585.1549976,582.2023737
2023-04-26 10:00:55,584.6564006,579.901811
2023-04-26 10:00:56,575.8039124,582.7624498
2023-04-26 10:00:57,578.4539381,581.1195707
2023-04-26 10:00:58,581.6563172,586.8207021
2023-04-26 10:00:59,584.8777256,580.6261225
2023-04-26 10:01:00,577.6041288,577.8529723
2023-04-26 10:01:01,579.0717051,580.6114875
2023-04-26 10:01:02,574.4683251,582.7164901
2023-04-26 10:01:03,574.0189669,580.2443004
